,CODE DESCRIPTION,avg(Min Delay)
0,HighVoltage,98.9047619047619
1,ForceMajeure,84.38461538461539
2,PriorityOne-TraininContactWithPerson,63.83802816901409
3,StructureRelatedProblem,40.61538461538461
4,RailDefect/Fastenings/PowerRail,40.30555555555556
5,SignalsZoneCountrollerFailure,40.0
6,Fire/SmokePlanA,39.31818181818182
7,LoopRelatedFailures,38.0
8,Vehicle,29.5
9,BombThreat,27.392156862745097
10,Misc.Engineering&ConstructionRelatedProblems,27.166666666666668
11,TractionPowerRailRelated,26.1
12,Fire/SmokePlanB,24.5
13,TractionPowerorRelatedComponentsFailure,21.153846153846153
14,RailRelatedProblem,21.068181818181817
15,SwitchRelated,17.76923076923077
16,AxleCounterRelated,17.727272727272727
17,Fire/SmokePlanB-SourceTTC,14.40139211136891
18,DoorsOpeninError,13.625
19,SuspiciousPackage,13.012658227848101
20,Other,12.119402985074627
21,WeatherReports/RelatedDelays,12.01388888888889
22,SignalsOther,11.333333333333334
23,TrackSwitchFailure-TrackRelatedProblem,10.458333333333334
24,WorkZoneProblems-Track,9.614942528735632
25,Fire/SmokePlanB-SourceExternaltoTTC,9.416666666666666
26,WorkVehicle,9.26530612244898
27,TrainlineSystem,8.947368421052632
28,DiscBrakes,8.710526315789474
29,UnauthorizedatTrackLevel,8.670854271356784
30,EmergencyAlarmStationActivation,8.648148148148149
31,HeldByPolce-Non-TTCRelated,8.645454545454545
32,VCC/RCIU/CCR,8.048387096774194
33,TrackBrakes,7.761904761904762
34,TrackSwitchFailure-SignalRelatedProblem,7.1521739130434785
35,LowVoltage,6.846153846153846
36,Radio,6.833333333333333
37,TrainControl-VOBC,6.183431952662722
38,AlternatingCurrent,5.609756097560975
39,SubwayRadioSystemFault,5.605633802816901
40,InjuredorillCustomer(OnTrain)-Transported,5.578806426931905
41,CompressedAir,5.454545454545454
42,ATCOperatorRelated,5.421052631578948
43,CrewUnabletoMaintainSchedule,5.360824742268041
44,CentralOfficeSignallingSystem,5.214285714285714
45,Couplers,5.181818181818182
46,SignalsAxleCounterBlockFailure,5.0
47,ECD/LineMechanicRelatedProb.,4.962962962962963
48,PropulsionSystem,4.82640586797066
49,LightingSystem,4.733333333333333
50,ATCRC&SEquipment,4.679245283018868
51,OPTO(COMMS)TrainDoorMonitoring,4.659420289855072
52,DivisionalClerkRelated,4.533333333333333
53,Trucks,4.467391304347826
54,ATCProject,4.424019607843137
55,DoorProblems-FaultyEquipment,4.4167539267015705
56,OPTORC&SNon-TrainDoorMonitoring,4.375
57,Assault/PatronInvolved,4.3681652490887
58,TRCabDoors,4.317518248175182
59,ConsequentialDelay(2ndDelaySameFault),4.3076923076923075
60,OperatorNotInPosition,4.255514705882353
61,T&SContractorProblems,4.25
62,Equipment-NoTroubleFound,4.100286532951289
63,SubwayCarRadioFault,4.064516129032258
64,SupervisoryError,4.055555555555555
65,DoorProblems-DebrisRelated,4.022110552763819
66,WorkRefusal,3.925925925925926
67,TrainControlsImproperlyShutDown,3.896551724137931
68,SCADARelatedProblems,3.8666666666666667
69,TransportationDepartment-Other,3.854005167958656
70,AirConditioning,3.8260869565217392
71,UnsanitaryVehicle,3.7944732297063903
72,NoOperatorImmediatelyAvailable,3.787878787878788
73,OPTOOperatorRelated,3.75
74,RC&SMaintenanceError-(Human),3.671641791044776
75,PassengerOther,3.6450304259634887
76,Yard/CarhouseRelatedProblems,3.643835616438356
77,Graffiti/Scratchiti,3.628099173553719
78,Body,3.6269113149847096
79,WarningAlarmSystems,3.6044776119402986
80,TwoDrumSwitchKeysActivated,3.5392156862745097
81,RC&SOther,3.5353535353535355
82,Timeout,3.5337837837837838
83,ChopperControl,3.5
84,NoOperatorImmediatelyAvailable-NotE.S.A.Related,3.4728789986091795
85,TractionMotors,3.4545454545454546
86,NoEquipmentAvailable,3.414141414141414
87,DisorderlyPatron,3.4001057082452433
88,InjuredorillCustomer(OnTrain)-MedicalAidRefused,3.3177480916030535
89,T&SRelatedProblem-NTF,3.2542372881355934
90,DoorProblems-PassengerRelated,3.138592750533049
91,WorkZoneProblems-Signals,3.0833333333333335
92,TransitControlRelatedProblems,2.967065868263473
93,Signals-TrackCircuitProblems,2.964114832535885
94,S/E/CDepartmentOther,2.939325842696629
95,Misc.TransportationOther-EmployeeNon-Chargeable,2.909168081494058
96,InsulatedJointRelatedProblem,2.900414937759336
97,SignalsorRelatedComponentsFailure,2.8569384835479257
98,SignalControlProblem-Signals,2.739130434782609
99,T&SOther,2.6108786610878663
100,TrackLevelDebris-Controllable,2.581081081081081
101,SignalsTrackWeatherRelated,2.579804560260586
102,Ice/SnowRelatedProblems,2.5289256198347108
103,EASFailure,2.5
104,TrackCircuitProblems-Re:DefectiveBolts/Bonding,2.467741935483871
105,Brakes,2.3618090452261304
106,SignalControlProblem-Track,2.347826086956522
107,Signals-TrainStops,1.819691577698695
108,Robbery,1.7542857142857142
109,Assault/EmployeeInvolved,1.6277372262773722
110,SignalProblem-NoTrouble,1.5859106529209621
111,OperatorOvershotPlatform,1.5449241540256708
112,StationOther,1.5013774104683195
113,SexualAssault,1.4202898550724639
114,T&SOperatorRelatedProblems,1.2422360248447204
115,OperatorViolatedSignal,1.2118644067796611
116,MainlineStorage,1.1304347826086956
117,MiscellaneousOther,1.0819601040763227
118,RailCars&ShopsOpr.Error,1.0476190476190477
119,TrainingDepartmentRelatedDelays,1.0084033613445378
120,ATCSignalsOther,0.8888888888888888
121,Fire/SmokePlanC,0.780952380952381
122,PassengerAssistanceAlarmActivated-NoTroubleFound,0.7313233328382593
123,InjuredEmployee,0.5972222222222222
124,SpeedControlEquipment,0.4602169981916817
125,CollectorBoothAlarmActivated,0.3699825479930192
126,InjuredorillCustomer(InStation)-MedicalAidRefused,0.2437037037037037
127,MiscellaneousSpeedControl,0.19781420765027322
128,StormTrains,0.15346534653465346
129,InjuredorillCustomer(InStation)-Transported,0.11805078929306795
130,OperatorOverspeeding,0.10380708563878108
131,StationStairwayIncident,0.05804480651731161
132,Escalator/ElevatorIncident,0.01171875
133,MiscellaneousGeneralDelays,0.0006359974560101759
134,ScheduledTrackMaintenance,0.0
135,OverheadDoorContact,0.0
136,SignalsPowerSupplyRelated,0.0
